Company Name,Job Title,Salary ($) /yr,Job Description,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Plaid Logo,Experienced Data Scientist - Credit,"$193,000","We believe that the way people interact with their finances will drastically improve in the next few years. We’re dedicated to empowering this transformation by building the tools and experiences that thousands of developers use to create their own products. Plaid powers the tools millions of people rely on to live a healthier financial life. We work with thousands of companies like Venmo, SoFi, several of the Fortune 500, and many of the largest banks to make it easy for people to connect their financial accounts to the apps and services they want to use. Plaid’s network covers 12,000 financial institutions across the US, Canada, UK and Europe. Founded in 2013, the company is headquartered in San Francisco with offices in New York, Washington D.C., London and Amsterdam. #LI-Hybrid

Plaid’s Machine Learning team is building models, services and platforms that improve how millions of users understand and grow their financial lives. We are looking for data scientists who can help our clients make the best use of our products and additionally uncover insights to power our machine learning roadmap.",4.1,"San Francisco, CA",1001 to 5000 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Vibrant Emotional Health Logo,Data Scientist I,"$86,000","Position Title: Data Scientist I
Salary Range: $80,000 - $92,000
Department: Information Technology
Reports to: Manager, Analytics and Research
Location: Remote
Schedule: M-F; 9-5 EST
Formerly the Mental Health Association of New York City (MHA-NYC), Vibrant Emotional Health’s groundbreaking solutions have delivered high quality services and support, when, where and how people need it for over 50 years. Through our state-of-the-art technology-enabled services, community wellness programs, and advocacy and education work, we are building a society in which emotional wellness can be a reality for everyone.",2.1,Remote,201 to 500 Employees,--,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$5 to $25 million (USD)
3M Logo,Data Scientist Specialist/Bioinformatics Specialist,"$128,453","Job Description:
Data Scientist Specialist/Bioinformatics Specialist, 3M Company, St. Paul, Minnesota: Develop advanced data analysis toolkits to explore and enable the invention of new products related to the identification, testing, and validation of biological information in Wound Healing and Biopharma Purification. Lead technical research related to infection prevention, microbial detection and control, and/or separation and purification sciences and new technology introduction efforts to apply bioinformatics to microbial detection and control for products. Interface with data scientists from across the company to leverage and develop new state of the art machine learning tools, data analysis capabilities, and informatic systems.Doctorate in Bioinformatics or Biological Sciences required. Must have two years of work or research experience with: (i) conducting and applying bioinformatics research and data analysis applicable to microbial detection and control for products in wound healing and biopharma purification; and (ii) applying computer science principles in the bioinformatics field. Experience may be gained concurrently. Position may be eligible for telecommuting from any location in the United States. Apply online: 3m.com/3m/en_US/careers-us/.
The expected compensation range for this position is $115,607 - $141,298, which includes base pay plus variable incentive pay, if eligible. This range represents a good faith estimate for this position. The specific compensation offered to a candidate may vary based on factors including, but not limited to, the candidate’s relevant knowledge, training, skills, work location, and/or experience. In addition, this position may be eligible for a range of benefits (e.g., Medical, Dental & Vision, Health Savings Accounts, Health Care & Dependent Care Flexible Spending Accounts, Disability Benefits, Life Insurance, Voluntary Benefits, Paid Absences and Retirement Benefits, etc.). Additional information is available at: https://www.3m.com/3M/en_US/careers-us/working-at-3m/benefits/.
Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M.
Responsibilities of this position include that corporate policies, procedures and security standards are complied with while performing assigned duties.
Our approach to flexibility is called Work Your Way, which puts employees first and drives well-being in ways that enable 3M’s business and performance goals. You have flexibility in where and when work gets done. It all depends on where and when you can do your best work.
Pay & Benefits Overview: https://www.3m.com/3M/en_US/careers-us/working-at-3m/benefits/
3M is an equal opportunity employer. 3M will not discriminate against any applicant for employment on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status.",3.7,"Maplewood, MN",10000+ Employees,1902,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
Abbott Laboratories Logo,"Data Scientist, Data Strategy and Analytics","$216,200","Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and products in diagnostics, medical devices, nutritionals and branded generic medicines. Our 115,000 colleagues serve people in more than 160 countries.
Working at Abbott
At Abbott, you can do work that matters, grow, and learn, care for yourself and family, be your true self and live a full life. You’ll also have access to:
Career development with an international company where you can grow the career you dream of.",3.8,"Alameda, CA",10000+ Employees,1888,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Automobile Club of Southern California Logo,Data Scientist III,"$121,800","As our Data Scientist 3 , you will handle multiple projects at once and act as an internal business consultant to help optimize every facet of this organization. You will solve problems and answer questions – using data – for other departments to help us reduce costs, reduce errors, and be a better organization for our 17 million members.

What You’ll Do

Will understand how the specific task fits into the bigger picture and suggest how to best accomplish within the project framework.

Will self-manage tasks and projects and complete them on time and under general supervision.

Every day, you will help solve business problems presented to us by stakeholders using data. You will get a scenario or problem, such as, “We need to reduce cycle times,” and then pull, analyze, and interpret data relevant to that scenario. You will pull data from SQL databases. You will analyze and interpret data using Python, R, or other tools. You will determine patterns or trends and their statistical significance to the problem. To visualize the data, you will use Tableau.

Once you have done your analysis, paired with a data engineer, you will present your findings to the stakeholder and confirm, refute or simply acknowledge a hypothesis. Your work may be implemented or may develop into something else.

This role is remote, but you must be able to report to the Costa Mesa, California, office for regular collaboration days.

What You’ll Need

To thrive in this role, you must have a solid foundation of statistics and data analysis. You must be able to describe a project where you pulled data, analyzed it, identified trends or patterns, determined significance, and delivered insights or recommendations to the business. What was your approach? What tools did you use and why? Did you get to the root cause of the issue? Did you confirm or refute a hypothesis? You must be able to speak to your involvement and decisions at each stage.

For pulling data, we use SQL so you must be proficient with this tool. To curate and analyze data, we use a variety of languages and programs: Python, R, and even Excel. You can choose whatever tool helps you best, but you must be proficient in either Python or R.

Excellent communication skills and an attitude of flexibility are a must. Very often, we get into the data and some aspect takes longer than we thought, or we have to pivot and change how we approach a problem. A dashboard works better than a model, perhaps. Then you have to explain to the stakeholder or the team why you made that change or why the deliverable is taking longer than expected. It’s all about being creative in your approach and communicating that frequently and clearly to people who may be less tech or data-savvy than you.

#LI-SJ1


$104,400.00 - $139,200.00
Additionally, you will be eligible to participate in our incentive program based upon the achievement of organization, team and personal performance.
.


The Automobile Club of Southern California is part of the largest federation of AAA clubs in the nation. We have 14,000 employees in 21 states helping 17 million members. The strength of our organization is our employees. Bringing together and supporting different cultures, backgrounds, personalities, and strengths creates a team capable of delivering legendary, lifetime service to our members. When we embrace our diversity – we win. All of Us! With our national brand recognition, long-standing reputation since 1902, and constantly growing membership, we are seeking career-minded, service-driven professionals to join our team.

“Through dedicated employees we proudly deliver legendary service and beneficial products that provide members peace of mind and value.”

AAA is an Equal Opportunity Employer

The Automobile Club of Southern California will consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with the requirements of applicable federal, state and local laws, including the City of Los Angeles’ Fair Chance Initiative for Hiring Ordinance.",3.0,"Costa Mesa, CA",5001 to 10000 Employees,1900,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD)
UNKNOWN ,Data Scientist (Junior Level),"$51,863","We are a leading job agency seeking a Junior Data Scientist to join our team and work with some of our top vendors. The ideal candidate will have strong analytical skills, excellent attention to detail, and a desire to learn and grow in the field of data analysis.
Responsibilities:
Collect, manipulate and analyze data from various sources
Prepare reports and visualizations to communicate findings to stakeholders
Identify trends and patterns in data to help inform business decisions
Collaborate with cross-functional teams to develop and implement data-driven solutions",-1,"Irving, TX",-1,-1,-1,-1,-1,-1
U.S. Bank National Association Logo,Data Scientist,"$117,390","At U.S. Bank, we’re on a journey to do our best. Helping the customers and businesses we serve to make better and smarter financial decisions and enabling the communities we support to grow and succeed. We believe it takes all of us to bring our shared ambition to life, and each person is unique in their potential. A career with U.S. Bank gives you a wide, ever-growing range of opportunities to discover what makes you thrive at every stage of your career. Try new things, learn new skills and discover what you excel at—all from Day One.
Job Description
U.S. Bank is seeking the position of Data Scientist in Minneapolis, MN.
Essential Responsibilities:

In addition to salary, US Bank offers a comprehensive benefits package, including incentive and recognition programs, equity stock purchase 401k contribution and pension (all benefits are subject to eligibility requirements).
U.S. Bank accepts applications for this position on an ongoing basis.",3.7,"Minneapolis, MN",10000+ Employees,1863,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
"Hoʻolaulima Government Solutions, LLC, (HGS) Logo",Data Scientist,"$111,665","Ho'olaulima Government Solutions LLC (HGS) is a Small Business Administration-certified, Native Hawaiian Organization-Owned, 8(a) Small Business which provides services and solutions in the areas of Cybersecurity Services, Information Technology Services, Professional and Technical Services, Environmental Services, and Healthcare Services to the Department of Defense and other Federal agencies.

HGS is a wholly-owned subsidiary of the Kina'ole Foundation, a 501(c)(3) non-profit established to benefit Native Hawaiian communities.

You will receive a comprehensive benefits package that includes:",4.7,"Huntsville, AL",51 to 200 Employees,2014,Company - Private,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable
Bayer Logo,Genomics Data Scientist,"$132,073","At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where 'Health for all Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.

Genomics Data Scientist",3.9,"Chesterfield, MO",10000+ Employees,1863,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
Princeton University Logo,Data Scientist Positions,"$116,235","Data Scientist positions are available through the Princeton Precision Health Initiative at Princeton University. The Princeton Precision Health (PPH) initiative seeks to hire staff scientists in data science, computational biology, psychology, and neuroscience. The rank will be Associate Professional Specialist or Professional Specialist, commensurate with experience. The PPH initiative takes an interdisciplinary, data-driven approach to healthcare and mental health, leveraging the synergy of science and policy to enable targeted solutions to biomedical, clinical, and societal challenges and support precision health. Professional data scientists with expertise in computer science (with an emphasis on machine learning) will be critical contributors to the success of PPH. The positions will report to Professor Olga Troyanskaya, the Director of PPH, though the data scientists will be expected to work with multiple faculty and research groups participating in PPH research, providing data analysis and modeling expertise across this interdisciplinary research space at Princeton. Data scientists should have a strong track record in modeling big data using advanced deep-learning methods. A prior experience with neural, biological, biomedical, or genetic data is advantageous. In addition, candidates should have experience creating robust software code that can be shared across groups and with the biomedical research community. The data scientists must serve as a hub for collaborative projects across disciplines; thus, extensive research experience or training is required. Applications must be submitted online at https://www.princeton.edu/acad-positions/position/32821. Applications must include a curriculum vitae and contact information for three references. Essential Qualifications: - A Ph.D. in Computer Science, Computational Biology, Neuroscience, Psychology, or a related field. These positions are subject to the University's background check policy. The work location for these positions is in-person on campus at Princeton University.",4.5,"Princeton, NJ",5001 to 10000 Employees,1746,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
Nintendo Logo,CONTRACT - Senior Data Scientist (NTD),$92.00,"Data Scientist positions are available through the Princeton Precision Health Initiative at Princeton University. The Princeton Precision Health (PPH) initiative seeks to hire staff scientists in data science, computational biology, psychology, and neuroscience. The rank will be Associate Professional Specialist or Professional Specialist, commensurate with experience. The PPH initiative takes an interdisciplinary, data-driven approach to healthcare and mental health, leveraging the synergy of science and policy to enable targeted solutions to biomedical, clinical, and societal challenges and support precision health. Professional data scientists with expertise in computer science (with an emphasis on machine learning) will be critical contributors to the success of PPH. The positions will report to Professor Olga Troyanskaya, the Director of PPH, though the data scientists will be expected to work with multiple faculty and research groups participating in PPH research, providing data analysis and modeling expertise across this interdisciplinary research space at Princeton. Data scientists should have a strong track record in modeling big data using advanced deep-learning methods. A prior experience with neural, biological, biomedical, or genetic data is advantageous. In addition, candidates should have experience creating robust software code that can be shared across groups and with the biomedical research community. The data scientists must serve as a hub for collaborative projects across disciplines; thus, extensive research experience or training is required. Applications must be submitted online at https://www.princeton.edu/acad-positions/position/32821. Applications must include a curriculum vitae and contact information for three references. Essential Qualifications: - A Ph.D. in Computer Science, Computational Biology, Neuroscience, Psychology, or a related field. These positions are subject to the University's background check policy. The work location for these positions is in-person on campus at Princeton University.",4.3,"Redmond, WA",5001 to 10000 Employees,--,Company - Public,Video Game Publishing,Media & Communication,$10+ billion (USD)
Nintendo Logo,CONTRACT - Senior Data Scientist (NTD),$92.00,"Nintendo Technology Development
The worldwide pioneer in the creation of interactive entertainment, Nintendo Co., Ltd., of Kyoto, Japan, manufactures and markets hardware and software for its Nintendo Switch™ system and the Nintendo 3DS™ family of portable systems. Since 1983, when it launched the Nintendo Entertainment System™, Nintendo has sold more than 4.7 billion video games and more than 740 million hardware units globally, including Nintendo Switch and the Nintendo 3DS family of systems, as well as the Game Boy™, Game Boy Advance, Nintendo DS™ family of systems, Super NES™, Nintendo 64™, Nintendo GameCube™, Wii™ and Wii U™ systems. It has also created industry icons that have become well-known, household names, such as Mario, Donkey Kong, Metroid, Zelda and Pokémon. A wholly owned subsidiary, Nintendo Technology Development, based in",4.3,"Redmond, WA",5001 to 10000 Employees,--,Company - Public,Video Game Publishing,Media & Communication,$10+ billion (USD)
Facebook App Logo,"Data Scientist, Product Analytics","$140,000","As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By applying your technical skills, analytical mindset, and product intuition to one of the richest data sets in the world, you will help define the experiences we build for billions of people and hundreds of millions of businesses around the world. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Research, Data Engineering, Marketing, Sales, Finance and others. You will use data and analysis to identify and solve product development’s biggest challenges. You will influence product strategy and investment decisions with data, be focused on impact, and collaborate with other teams. By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the products we build bring value to people, businesses, and Meta. You will help your partner teams prioritize what to build, set goals, and understand their product’s ecosystem.Analytics: You will guide teams using data and insights. You will focus on developing hypotheses and employ a diverse toolkit of rigorous analytical approaches, different methodologies, frameworks, and technical approaches to test them.Communication and influence: You won’t simply present data, but tell data-driven stories. You will convince and influence your partners using clear insights and recommendations. You will build credibility through structure and clarity, and be a trusted strategic partner.















Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.",3.9,"San Francisco, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Indeed Logo,Staff Data Scientist - Matching Science,"$201,000","Our Mission
As the world’s number 1 job site*, our mission is to help people get jobs. We strive to cultivate an inclusive and accessible workplace where all people feel comfortable being themselves. We're looking to grow our teams with more people who share our enthusiasm for innovation and creating the best experience for job seekers.
(*comScore Total Visits, September 2023)
Day to Day
As a Staff Data Scientist specializing in Search Retrieval, you will be at the forefront of enhancing and optimizing our search algorithms. You will play a key role in driving innovation and efficiency in how users interact with our platform. The ideal candidate will bring a deep understanding of data science, machine learning, and search retrieval methodologies to develop and implement robust solutions.
As a Staff Data Scientist, you will be a team lead. You will own one of the team’s major workstreams, help drive technical direction for the team, and guide other members of the team to achieve product/technical goals. On a daily basis, you will explore data and formulate problem statements, develop and deploy predictive models while monitoring them in production, and guide the team on the same. Additionally, you will collaborate with cross-functional teams, evangelize your team's work, and stay updated with the latest advancements in the field.",4.2,United States,10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD)
AppFolio Logo,Sr. Data Scientist,"$160,000","What we’re looking for

The Senior Data Scientist will be pivotal in leveraging data-driven insights to enhance user experiences, improve data interpretability, streamline customer financial processes, and drive product growth.

Your impact
Partner with Prod Dev teams to identify systemic constraints, missing data, or status inefficiencies that preclude AppFolio from being our customers’ Accounting System of Record.",3.9,"Santa Barbara, CA",1001 to 5000 Employees,2006,Company - Public,Software Development,Information Technology,$100 to $500 million (USD)
BlueSky Technology Solutions Logo,Data Scientist - Population Health - 100% Remote,"$115,000","We have an immediate need for a Data Scientist with experience supporting Population Health analytics. This permanent position is 100% remote and offers competitive compensation (that will depend on level of experience). Excellent benefits package.
Target Skills and Experience:
4+ years of Data Science experience with focus in statistics/predictive modeling and related business strategy.
Strong knowledge in natural language processing, machine learning, conceptual modelling, hypothesis testing, and relational database management systems (Oracle, SQL Server, etc.).",-1,United States,1 to 50 Employees,--,Company - Private,--,--,Less than $1 million (USD)
"Gametime United, Inc. Logo",Data Scientist - Finance,"$190,500","About Us:
Live experiences help people cross today’s digital divide and focus on what truly connects us – the here, the new, this once-in-a-lifetime moment that’s bringing us together. To fulfill Gametime’s mission of uniting the world through shared experiences, we make it easy for people to discover and access the live experiences that matter most.

With platforms on iOS, Android, mobile web and desktop supporting more than 25,000 events across the US and Canada, we are reimagining the event ticket industry in order to move at the speed of life.",4.4,Remote,201 to 500 Employees,2013,Company - Private,Ticket Sales,"Arts, Entertainment & Recreation",$25 to $100 million (USD)
TikTok Logo,Data Scientist - TikTok Ads,"$224,500","Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us
Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible.
Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day.
To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.
At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve.
Join us.

About The Tiktok Monetization Product Data Science Team
We're the TikTok Monetization Products data science team, who enables and champions data driven decision making. Our Vision is to become the world class data science team, where data is used rigorously to drive all decision making. Our Mission is to drive monetization and sustainable revenue growth for TikTok through data science.


scale.
Interact cross-functionally, making business recommendations (e.g., cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.
Qualifications
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.

TikTok is committed to providing reasonable accommodations in our recruitment processes for candidates with disabilities, pregnancy, sincerely held religious beliefs or other reasons protected by applicable laws. If you need assistance or a reasonable accommodation, please reach out to us at tt.accommodations@tiktok.com
Job Information
The base salary range for this position in the selected city is $153000 - $296000 annually.



Compensation may vary outside of this range depending on a number of factors, including a candidate’s qualifications, skills, competencies and experience, and location. Base pay is one part of the Total Package that is provided to compensate and recognize employees for their work, and this role may be eligible for additional discretionary bonuses/incentives, and restricted stock units.



Our company benefits are designed to convey company culture and values, to create an efficient and inspiring work environment, and to support our employees to give their best in both work and life. We offer the following benefits to eligible employees:



We cover 100% premium coverage for employee medical insurance, approximately 75% premium coverage for dependents and offer a Health Savings Account(HSA) with a company match. As well as Dental, Vision, Short/Long term Disability, Basic Life, Voluntary Life and AD&D insurance plans. In addition to Flexible Spending Account(FSA) Options like Health Care, Limited Purpose and Dependent Care.



10 paid holidays per year plus 17 days of Paid Personal Time Off (PPTO) (prorated upon hire and increased by tenure) and 10 paid sick days per year as well as 12 weeks of paid Parental leave and 8 weeks of paid Supplemental Disability.



We also provide generous benefits like mental and emotional health benefits through our EAP and Lyra. A 401K company match, gym and cellphone service reimbursements. The Company reserves the right to modify or change these benefits programs at any time, with or without notice.",3.4,"San Jose, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
